Grain Size,Time (s)
100, 67.282
110, 63.651
121, 63.158
133, 64.390
146, 62.330
160, 63.941
176, 63.771
193, 43.125
212, 41.593
233, 43.026
256, 41.861
281, 41.958
309, 41.913
339, 43.337
372, 42.181
409, 29.655
449, 30.228
493, 29.794
542, 29.137
596, 29.222
655, 29.226
720, 29.520
792, 21.965
871, 22.224
958, 21.832
1053, 22.019
1158, 21.795
1273, 21.939
1400, 22.036
1540, 17.621
1694, 17.586
1863, 17.792
2049, 17.750
2253, 17.627
2478, 17.673
2725, 17.629
2997, 17.760
3296, 14.784
3625, 14.917
3987, 14.836
4385, 14.713
4823, 15.028
5305, 15.261
5835, 14.833
6418, 12.995
7059, 13.054
7764, 13.043
8540, 12.884
9394, 13.031
10333, 12.917
11366, 12.897
12502, 11.993
13752, 11.953
15127, 11.957
16639, 11.872
18302, 11.905
20132, 11.994
22145, 11.940
24359, 11.901
26794, 11.403
29473, 11.476
32420, 11.400
35662, 11.394
39228, 11.303
43150, 11.360
47465, 11.328
52211, 11.340
57432, 11.332
63175, 11.385
69492, 11.394
76441, 11.328
84085, 11.315
92493, 11.323
101742, 11.387
111916, 11.353
123107, 11.396
135417, 11.427
148958, 11.384
163853, 11.399
180238, 11.435
198261, 11.572
218087, 11.674
239895, 11.701
263884, 11.639
290272, 11.659
319299, 11.653
351228, 11.649
386350, 11.651
387000, 11.390
389000, 11.421
391000, 51.032
393000, 45.713
395000, 48.853
397000, 53.170
399000, 49.535
401000, 47.202
403000, 53.123
405000, 48.192
407000, 47.922
409000, 52.476
411000, 49.931
424985, 52.407
467483, 49.802
514231, 50.068
565654, 54.166
622219, 54.075
684440, 48.851
752884, 52.387
753000, 47.052
763000, 47.802
773000, 49.098
783000, 683.450
793000, 648.571
828172, 750.799
910989, 714.972
1002087, 676.979
1102295, 780.944
1212524, 808.760
1333776, 800.091
1467153, 805.283
1613868, 892.321
1775254, 855.549
1952779, 879.350
